Date Time;Temp (°C) LGR S/N: 21067836,  #21067836;RH (%) LGR S/N: 21067836,  #21067836;Coupler Detached LGR S/N: 21067836;Coupler Attached LGR S/N: 21067836;Host Connected LGR S/N: 21067836;End Of File LGR S/N: 21067836
26.04.2021 22:00:00;8.384;23.932;Logged;;;
26.04.2021 22:30:00;7.741;23.785;;;;
26.04.2021 23:00:00;7.097;23.785;;;;
26.04.2021 23:30:00;6.454;23.761;;;;
27.04.2021 00:00:00;5.853;23.492;;;;
27.04.2021 00:30:00;5.295;23.443;;;;
27.04.2021 01:00:00;4.781;23.590;;;;
27.04.2021 01:30:00;4.352;23.785;;;;
27.04.2021 02:00:00;3.880;23.785;;;;
27.04.2021 02:30:00;3.408;23.736;;;;
27.04.2021 03:00:00;3.022;23.687;;;;
27.04.2021 03:30:00;2.593;23.712;;;;
27.04.2021 04:00:00;2.249;24.005;;;;
27.04.2021 04:30:00;1.992;24.469;;;;
27.04.2021 05:00:00;2.207;32.259;;;;
27.04.2021 05:30:00;3.579;37.729;;;;
27.04.2021 06:00:00;6.068;53.211;;;;
27.04.2021 06:30:00;10.057;48.596;;;;
27.04.2021 07:00:00;13.446;45.617;;;;
27.04.2021 07:30:00;14.862;37.314;;;;
27.04.2021 08:00:00;15.248;35.385;;;;
27.04.2021 08:30:00;16.192;33.895;;;;
27.04.2021 09:00:00;16.921;30.916;;;;
27.04.2021 09:30:00;16.621;28.254;;;;
27.04.2021 10:00:00;17.350;29.548;;;;
27.04.2021 10:30:00;19.152;26.886;;;;
27.04.2021 11:00:00;20.311;25.324;;;;
27.04.2021 11:30:00;22.198;22.662;;;;
27.04.2021 12:00:00;25.802;18.339;;;;
27.04.2021 12:30:00;24.429;19.121;;;;
27.04.2021 13:00:00;23.228;20.635;;;;
27.04.2021 13:30:00;22.713;20.488;;;;
27.04.2021 14:00:00;22.842;21.490;;;;
27.04.2021 14:30:00;23.228;20.000;;;;
27.04.2021 15:00:00;25.287;19.072;;;;
27.04.2021 15:30:00;25.459;18.266;;;;
27.04.2021 16:00:00;25.373;20.977;;;;
27.04.2021 16:30:00;24.686;24.029;;;;
27.04.2021 17:00:00;23.700;22.100;;;;
27.04.2021 17:30:00;23.528;24.298;;;;
27.04.2021 18:00:00;22.027;22.686;;;;
27.04.2021 18:30:00;21.297;26.642;;;;
27.04.2021 19:00:00;20.182;28.742;;;;
27.04.2021 19:30:00;18.938;30.598;;;;
27.04.2021 20:00:00;17.651;32.137;;;;
27.04.2021 20:30:00;16.407;33.333;;;;
27.04.2021 21:00:00;15.163;35.092;;;;
27.04.2021 21:30:00;14.133;37.607;;;;
27.04.2021 22:00:00;13.275;38.877;;;;
27.04.2021 22:30:00;12.503;42.100;;;;
27.04.2021 23:00:00;11.859;43.516;;;;
27.04.2021 23:30:00;11.216;44.982;;;;
28.04.2021 00:00:00;10.701;46.374;;;;
28.04.2021 00:30:00;10.100;47.741;;;;
28.04.2021 01:00:00;9.671;50.330;;;;
28.04.2021 01:30:00;9.328;54.628;;;;
28.04.2021 02:00:00;9.071;55.873;;;;
28.04.2021 02:30:00;8.856;59.121;;;;
28.04.2021 03:00:00;8.856;64.298;;;;
28.04.2021 03:30:00;9.071;67.033;;;;
28.04.2021 04:00:00;8.985;51.917;;;;
28.04.2021 04:30:00;9.543;64.322;;;;
28.04.2021 05:00:00;11.559;52.650;;;;
28.04.2021 05:30:00;12.117;54.188;;;;
28.04.2021 06:00:00;12.674;46.911;;;;
28.04.2021 06:30:00;14.648;45.910;;;;
28.04.2021 07:00:00;15.935;42.759;;;;
28.04.2021 07:30:00;16.578;42.784;;;;
28.04.2021 08:00:00;19.152;35.433;;;;
28.04.2021 08:30:00;20.825;25.372;;;;
28.04.2021 09:00:00;21.598;28.962;;;;
28.04.2021 09:30:00;22.799;25.983;;;;
28.04.2021 10:00:00;23.571;23.907;;;;
28.04.2021 10:30:00;24.129;20.855;;;;
28.04.2021 11:00:00;24.858;23.297;;;;
28.04.2021 11:30:00;25.115;19.389;;;;
28.04.2021 12:00:00;25.759;20.977;;;;
28.04.2021 12:30:00;25.287;21.294;;;;
28.04.2021 13:00:00;24.558;24.225;;;;
28.04.2021 13:30:00;26.231;30.745;;;;
28.04.2021 14:00:00;26.789;18.950;;;;
28.04.2021 14:30:00;25.544;20.684;;;;
28.04.2021 15:00:00;24.772;16.264;;;;
28.04.2021 15:30:00;23.099;27.302;;;;
28.04.2021 16:00:00;23.013;27.814;;;;
28.04.2021 16:30:00;23.271;30.403;;;;
28.04.2021 17:00:00;23.914;26.862;;;;
28.04.2021 17:30:00;24.172;24.860;;;;
28.04.2021 18:00:00;23.356;24.225;;;;
28.04.2021 18:30:00;22.027;24.200;;;;
28.04.2021 19:00:00;20.568;24.396;;;;
28.04.2021 19:30:00;19.109;24.689;;;;
28.04.2021 20:00:00;17.737;25.055;;;;
28.04.2021 20:30:00;16.578;25.470;;;;
28.04.2021 21:00:00;15.463;25.690;;;;
28.04.2021 21:30:00;14.476;25.739;;;;
28.04.2021 22:00:00;13.575;25.836;;;;
28.04.2021 22:30:00;12.760;25.861;;;;
28.04.2021 23:00:00;11.945;25.934;;;;
28.04.2021 23:30:00;11.216;26.056;;;;
29.04.2021 00:00:00;10.572;26.154;;;;
29.04.2021 00:30:00;9.972;26.447;;;;
29.04.2021 01:00:00;9.585;26.374;;;;
29.04.2021 01:30:00;9.028;26.252;;;;
29.04.2021 02:00:00;8.599;26.154;;;;
29.04.2021 02:30:00;8.084;26.252;;;;
29.04.2021 03:00:00;7.655;26.252;;;;
29.04.2021 03:30:00;7.183;26.203;;;;
29.04.2021 04:00:00;6.797;26.545;;;;
29.04.2021 04:30:00;6.840;27.179;;;;
29.04.2021 05:00:00;7.054;28.059;;;;
29.04.2021 05:30:00;8.041;57.631;;;;
29.04.2021 06:00:00;11.473;67.717;;;;
29.04.2021 06:30:00;14.476;56.777;;;;
29.04.2021 07:00:00;16.235;50.940;;;;
29.04.2021 07:30:00;18.637;57.118;;;;
29.04.2021 08:00:00;19.281;48.083;;;;
29.04.2021 08:30:00;19.324;51.233;;;;
29.04.2021 09:00:00;19.453;49.133;;;;
29.04.2021 09:30:00;19.839;55.873;;;;
29.04.2021 10:00:00;20.525;50.476;;;;
29.04.2021 10:30:00;16.621;60.342;;;;
29.04.2021 11:00:00;17.694;52.723;;;;
29.04.2021 11:30:00;18.723;52.039;;;;
29.04.2021 12:00:00;19.796;49.670;;;;
29.04.2021 12:30:00;19.667;48.620;;;;
29.04.2021 13:00:00;18.723;52.943;;;;
29.04.2021 13:30:00;19.066;51.551;;;;
29.04.2021 14:00:00;19.109;52.796;;;;
29.04.2021 14:30:00;18.552;54.457;;;;
29.04.2021 15:00:00;18.809;53.700;;;;
29.04.2021 15:30:00;18.637;53.993;;;;
29.04.2021 16:00:00;18.509;54.188;;;;
29.04.2021 16:30:00;17.565;57.558;;;;
29.04.2021 17:00:00;16.793;62.564;;;;
29.04.2021 17:30:00;15.506;68.987;;;;
29.04.2021 18:00:00;14.262;72.991;;;;
29.04.2021 18:30:00;13.017;77.241;;;;
29.04.2021 19:00:00;12.975;79.585;;;;
29.04.2021 19:30:00;12.889;80.684;;;;
29.04.2021 20:00:00;12.588;81.685;;;;
29.04.2021 20:30:00;12.417;86.569;;;;
29.04.2021 21:00:00;11.988;91.844;;;;
29.04.2021 21:30:00;11.859;93.895;;;;
29.04.2021 22:00:00;11.859;94.335;;;;
29.04.2021 22:30:00;11.559;97.265;;;;
29.04.2021 23:00:00;11.259;98.168;;;;
29.04.2021 23:30:00;11.130;98.193;;;;
30.04.2021 00:00:00;11.087;98.608;;;;
30.04.2021 00:30:00;11.044;98.828;;;;
30.04.2021 01:00:00;11.130;99.072;;;;
30.04.2021 01:30:00;11.173;99.072;;;;
30.04.2021 02:00:00;11.044;99.096;;;;
30.04.2021 02:30:00;10.958;99.023;;;;
30.04.2021 03:00:00;10.744;99.267;;;;
30.04.2021 03:30:00;10.572;99.267;;;;
30.04.2021 04:00:00;10.401;99.463;;;;
30.04.2021 04:30:00;10.272;99.463;;;;
30.04.2021 05:00:00;10.358;99.927;;;;
30.04.2021 05:30:00;10.443;99.976;;;;
30.04.2021 06:00:00;10.315;97.949;;;;
30.04.2021 06:30:00;11.301;92.576;;;;
30.04.2021 07:00:00;12.932;87.961;;;;
30.04.2021 07:30:00;13.747;72.625;;;;
30.04.2021 08:00:00;15.120;72.796;;;;
30.04.2021 08:30:00;16.278;68.278;;;;
30.04.2021 09:00:00;17.651;60.464;;;;
30.04.2021 09:30:00;17.651;57.387;;;;
30.04.2021 10:00:00;16.492;60.659;;;;
30.04.2021 10:30:00;18.595;52.918;;;;
30.04.2021 11:00:00;18.380;52.821;;;;
30.04.2021 11:30:00;19.195;50.623;;;;
30.04.2021 12:00:00;18.852;49.158;;;;
30.04.2021 12:30:00;19.238;47.131;;;;
30.04.2021 13:00:00;19.410;43.004;;;;
30.04.2021 13:30:00;19.410;41.294;;;;
30.04.2021 14:00:00;19.710;44.444;;;;
30.04.2021 14:30:00;19.710;45.153;;;;
