Date Time;Temp (°C) LGR S/N: 21067850,  #21067850;RH (%) LGR S/N: 21067850,  #21067850;Coupler Detached LGR S/N: 21067850;Coupler Attached LGR S/N: 21067850;Host Connected LGR S/N: 21067850;Stopped LGR S/N: 21067850;End Of File LGR S/N: 21067850
26.04.2021 22:00:00;22.027;24.151;Logged;;;;
26.04.2021 22:30:00;22.027;23.907;;;;;
26.04.2021 23:00:00;21.984;24.103;;;;;
26.04.2021 23:30:00;22.027;24.127;;;;;
27.04.2021 00:00:00;21.941;24.103;;;;;
27.04.2021 00:30:00;21.984;24.200;;;;;
27.04.2021 01:00:00;21.941;24.103;;;;;
27.04.2021 01:30:00;21.898;24.200;;;;;
27.04.2021 02:00:00;21.898;23.834;;;;;
27.04.2021 02:30:00;21.855;23.907;;;;;
27.04.2021 03:00:00;21.855;23.761;;;;;
27.04.2021 03:30:00;21.812;24.005;;;;;
27.04.2021 04:00:00;21.855;23.883;;;;;
27.04.2021 04:30:00;21.683;24.860;;;;;
27.04.2021 05:00:00;21.812;24.689;;;;;
27.04.2021 05:30:00;21.769;24.884;;;;;
27.04.2021 06:00:00;21.769;25.104;;;;;
27.04.2021 06:30:00;21.769;25.348;;;;;
27.04.2021 07:00:00;21.812;26.252;;;;;
27.04.2021 07:30:00;21.941;26.252;;;;;
27.04.2021 08:00:00;22.027;26.789;;;;;
27.04.2021 08:30:00;22.198;26.447;;;;;
27.04.2021 09:00:00;22.241;26.081;;;;;
27.04.2021 09:30:00;22.456;26.447;;;;;
27.04.2021 10:00:00;22.627;26.862;;;;;
27.04.2021 10:30:00;22.799;26.764;;;;;
27.04.2021 11:00:00;22.970;26.129;;;;;
27.04.2021 11:30:00;23.056;25.861;;;;;
27.04.2021 12:00:00;23.185;25.861;;;;;
27.04.2021 12:30:00;23.314;25.739;;;;;
27.04.2021 13:00:00;23.228;24.444;;;;;
27.04.2021 13:30:00;23.185;25.104;;;;;
27.04.2021 14:00:00;23.271;25.641;;;;;
27.04.2021 14:30:00;23.185;26.032;;;;;
27.04.2021 15:00:00;23.099;26.081;;;;;
27.04.2021 15:30:00;23.099;26.203;;;;;
27.04.2021 16:00:00;23.013;26.300;;;;;
27.04.2021 16:30:00;22.970;26.447;;;;;
27.04.2021 17:00:00;22.927;26.569;;;;;
27.04.2021 17:30:00;22.842;26.667;;;;;
27.04.2021 18:00:00;22.799;26.838;;;;;
27.04.2021 18:30:00;22.756;26.960;;;;;
27.04.2021 19:00:00;22.670;27.155;;;;;
27.04.2021 19:30:00;22.627;27.228;;;;;
27.04.2021 20:00:00;22.584;27.277;;;;;
27.04.2021 20:30:00;22.584;27.350;;;;;
27.04.2021 21:00:00;22.541;27.375;;;;;
27.04.2021 21:30:00;22.456;27.521;;;;;
27.04.2021 22:00:00;22.498;27.497;;;;;
27.04.2021 22:30:00;22.456;27.692;;;;;
27.04.2021 23:00:00;22.413;27.741;;;;;
27.04.2021 23:30:00;22.370;27.912;;;;;
28.04.2021 00:00:00;22.370;27.888;;;;;
